Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.43
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.96
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.67
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.33
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,13.73
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.4
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,14.28
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,12.92
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.78
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.62
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.36
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.1
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.66
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.41
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,204,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.61
