Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,135.664
2001,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,137.94049
2002,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,139.74927
2003,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,142.48092
2004,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,151.25972
2005,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,166.28557
2006,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,204.17942
2007,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,201.24416
2008,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,198.72619
2009,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,212.66865
2010,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,228.43423
2011,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,269.04072
2012,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,288.06315
2013,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,221.24806
2014,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,211.50977
2015,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,140.53311
2016,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,72.26346
2017,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,46.25715
2018,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,99.17532
2019,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,100.10779
2020,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,97.80309
2021,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,165.44488
2022,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,120.41605
2023,A,0,267.93702,95.96815,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,72,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,155.09855
