Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2008,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.9
2009,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.9
2010,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,28.3
2011,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,28.5
2012,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,28.3
2013,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,28.1
2014,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,28.0
2015,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.75
2016,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.6
2017,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.4
2018,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.2
2019,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,27.1
2020,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,26.7
2021,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,26.7
2022,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,26.6
2023,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,26.4
2000,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,70.4
2001,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,71.8
2002,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,73.4
2003,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,74.6
2004,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,76.1
2005,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,77.4
2006,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,78.3
2007,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,79.45
2008,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,80.3
2009,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,81.1
2010,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,81.9
2011,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,82.6
2012,A,0,99,55.5975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,U,PT,2025-06-18T00:00:00,2023,83.1
