Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.35
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.76
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,2.06
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.34
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.95
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.17
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,0.61
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,3.11
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,5.95
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,3.32
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,2.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y15T24,None,PT,2025-03-15T00:00:00,2022,2.71
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,0.93
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,0.93
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.42
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.44
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.09
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.89
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.88
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.83
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.86
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.93
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.88
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.37
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,1.07
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,1.53
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,5.21
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,4.41
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,1.9
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,M,Y15T24,None,PT,2025-03-15T00:00:00,2022,3.61
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.2
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.21
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.69
2013,U,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2019,2.44
2019,U,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,PD,PT,2025-03-15T00:00:00,2019,1.15
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,2.19
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.22
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,None,Y_GE15,PWD,PT,2025-03-15T00:00:00,2022,1.7
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEMDIS,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.86
