Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.53
2001,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.58
2002,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.69
2003,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.78
2004,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.78
2005,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.72
2006,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.36
2007,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.49
2008,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.35
2009,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.49
2010,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.57
2011,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.41
2012,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.21
2013,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.31
2014,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.15
2015,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.38
2016,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.78
2017,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.68
2018,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.62
2019,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.29
2020,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,5.38
2021,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.54
2022,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,204,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,4.39
