Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1985,A,0,2021,"Accessed June 5, 2025. Based on data from BMTHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,None,PT,2025-08-11T00:00:00,2015,50.1
1993,A,0,2021,"Accessed June 5, 2025. Based on data from BMTHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,None,PT,2025-08-11T00:00:00,2015,42.1
2002,A,0,2021,"Accessed June 5, 2025. Based on data from BMTHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,None,PT,2025-08-11T00:00:00,2015,34.8
2009,A,0,2021,"Accessed June 5, 2025. Based on data from BMTHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,None,PT,2025-08-11T00:00:00,2015,21.1
2015,A,0,2021,"Accessed June 5, 2025. Based on data from BMTHS. Estimated from unit-record consumption data. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,None,PT,2025-08-11T00:00:00,2015,21.4
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,R,PT,2025-08-11T00:00:00,2015,49.87553
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,R,PT,2025-08-11T00:00:00,2015,26.50352
2015,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,R,PT,2025-08-11T00:00:00,2015,34.32683
2002,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,U,PT,2025-08-11T00:00:00,2015,22.99193
2009,A,0,2021,"Accessed June 5, 2025. Survey name: BMTHS. Uses a consumption aggregate, which is not spatially deflated. Defined as the percentage of the population living on less than $3.00 a day at 2021 international prices.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,72,None,None,U,PT,2025-08-11T00:00:00,2015,16.97708
