Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,55.0
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,63.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,66.3
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,65.8
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,64.0
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,61.9
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,62.7
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,63.3
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,65.6
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,55.4
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,64.3
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,66.8
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,66.3
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,64.5
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,62.4
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,63.2
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,64.2
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,65.9
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,54.6
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,63.4
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,65.9
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,65.4
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,63.5
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,61.5
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,62.2
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,62.4
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,65.3
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,6251.1
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,7469.9
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,7988.6
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8153.8
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8147.4
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8096.3
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8411.0
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,8704.5
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,None,None,NUMBER,2025-08-08T00:00:00,2023-2025,9259.8
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1804.5
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2157.2
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2308.8
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2360.1
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2363.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2355.9
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2456.9
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2570.2
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2719.0
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1735.0
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2078.6
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2229.6
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2283.8
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2291.6
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2288.0
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2389.8
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2469.4
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESMSN,204,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2667.6
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,10.4
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,13.1
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,14.4
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,14.8
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,14.7
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,14.5
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,15.4
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,15.8
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,None,None,PT,2025-08-08T00:00:00,2023-2025,15.0
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,10.7
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,13.4
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.7
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.2
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.0
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.9
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.8
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,16.2
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,F,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.0
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,10.2
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,12.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.0
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.5
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.3
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.2
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.0
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,15.4
2023,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESS,204,M,Y_GE15,PT,2025-08-08T00:00:00,2023-2025,14.9
