Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2005,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2010,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2014,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.26582
2015,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2016,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2017,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2018,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2019,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2020,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2021,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2022,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2015,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.85185
2016,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.85185
2020,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.85185
2021,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.85185
2022,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.85185
2023,A,0,Report of the Economic and Social Council on its 2023 Session (A/77/3),SG_INT_MBRDEV,72,IO_ECOSOC,PT,2024-05-07T00:00:00,2023,1.88679
2000,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.54945
2005,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.54348
2010,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53476
2015,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53191
2016,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53191
2017,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2018,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2019,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2020,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2021,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2022,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2023,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,72,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2000,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.57471
2005,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.5618
2010,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54945
2015,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2016,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2017,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2018,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2019,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.5435
2020,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54054
2021,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54054
2022,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2023,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,72,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2000,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5618
2005,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.55249
2010,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.54945
2015,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.53191
2016,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.53191
2017,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2018,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2019,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2020,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5291
2021,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2022,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2023,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,72,IO_IMF,PT,2024-05-07T00:00:00,2023,0.52632
2000,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.5291
2005,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.52356
2010,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.52083
2015,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2016,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2017,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2018,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2019,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2020,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2021,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2022,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2023,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,72,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2000,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.71429
2005,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.67114
2010,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.65359
2015,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.625
2016,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.61728
2017,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2018,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2019,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2020,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2021,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2022,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2023,A,0,WTO Annual Report 2023,SG_INT_MBRDEV,72,IO_WTO,PT,2024-05-07T00:00:00,2023,0.60976
2000,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,2.249
2005,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,2.138
2010,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,2.096
2014,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.089
2015,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.08
2016,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.0793
2017,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.0793
2018,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.0834
2019,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,72,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.08179
