Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.68008
2001,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.68008
2002,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.74015
2003,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.71513
2004,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.65251
2005,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.59097
2006,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.60003
2007,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.64877
2008,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.69841
2009,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.74383
2010,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.84774
2011,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,9.03414
2012,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,9.27971
2013,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,9.00557
2014,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.60459
2015,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.02507
2016,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.79045
2017,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.54761
2018,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.28486
2019,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.14393
2020,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.01662
2021,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.98011
2022,A,0,,8.67339,5.28534,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,204,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.98011
