Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,204,None,None,KM2,2025-03-21T00:00:00,2000-2021,,24.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,204,None,None,KM2,2025-03-21T00:00:00,2000-2021,,41.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,204,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,24.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,204,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,41.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,204,None,None,PT,2025-03-21T00:00:00,2000-2021,,3.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,204,None,None,PT,2025-03-21T00:00:00,2000-2021,,6.5
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,204,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,3.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,204,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,6.5
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,4.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,6.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,6.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,10.1
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,11.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,12.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,51.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,48.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,48.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,52.1
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,57.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,60.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,204.6
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,204.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,203.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,199.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,196.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,193.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,637.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,635.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,635.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,631.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,630.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,629.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,26.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,27.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,27.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,27.2
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,26.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,26.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,354.6
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,355.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,356.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,352.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,350.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,204,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,348.3
