Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,34
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,32
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,40
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,42
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,45
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,64
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,39
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,49
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,None,PT,2025-03-24T00:00:00,2023,40
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,36
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,37
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,45
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,44
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,53
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,67
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,42
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,52
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,F,PT,2025-03-24T00:00:00,2023,45
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,33
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,28
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,36
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,40
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,37
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,62
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,36
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,45
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,204,M,PT,2025-03-24T00:00:00,2023,34
