Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,None,NUMBER,2025-03-13T00:00:00,2022,535.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,None,NUMBER,2025-03-13T00:00:00,2022,701.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,None,NUMBER,2025-03-13T00:00:00,2022,1319.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,None,NUMBER,2025-03-13T00:00:00,2022,2207.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,None,NUMBER,2025-03-13T00:00:00,2022,1451.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,21.0
2020,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,140.0
2021,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,554.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,535.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,680.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,1179.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,1653.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,1451.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,None,NUMBER,2025-03-13T00:00:00,2022,174.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,None,NUMBER,2025-03-13T00:00:00,2022,288.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,None,NUMBER,2025-03-13T00:00:00,2022,609.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,None,NUMBER,2025-03-13T00:00:00,2022,1186.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,None,NUMBER,2025-03-13T00:00:00,2022,675.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,9.0
2020,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,16.0
2021,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,286.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,174.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,279.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,593.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,900.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,675.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,None,NUMBER,2025-03-13T00:00:00,2022,361.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,None,NUMBER,2025-03-13T00:00:00,2022,413.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,None,NUMBER,2025-03-13T00:00:00,2022,710.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,None,NUMBER,2025-03-13T00:00:00,2022,1021.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,None,NUMBER,2025-03-13T00:00:00,2022,776.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,12.0
2020,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,124.0
2021,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2022,268.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,361.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,401.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,586.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,753.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,776.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,204,None,None,NUMBER,2025-03-13T00:00:00,2022,1214.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,1214.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,559.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFL,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,655.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,204,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,8.82
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,204,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,18.13
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,204,F,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,16.93
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVFLR,204,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,19.29
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,204,None,None,NUMBER,2025-03-13T00:00:00,2022,237.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,204,None,Y0T17,NUMBER,2025-03-13T00:00:00,2022,237.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,204,F,Y0T17,NUMBER,2025-03-13T00:00:00,2022,116.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,204,M,Y0T17,NUMBER,2025-03-13T00:00:00,2022,121.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,204,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,1.72
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,204,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,3.54
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,204,F,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,3.51
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,204,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,3.56
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,204,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,4.44
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,204,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,5.51
