Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.03
2001,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.87
2002,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.03
2003,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.92
2004,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.97
2005,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.28
2006,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.02
2007,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.31
2008,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,4.39
2009,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.96
2010,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.19
2011,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.81
2012,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,3.41
2013,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,5.42
2014,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,6.98
2015,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,6.95
2016,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,6.62
2017,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,7.33
2018,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,8.07
2019,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,7.2
2020,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,5.76
2021,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,6.18
2022,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,None,T,2025-02-19T00:00:00,2022,,6.46
2000,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2001,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.22
2002,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.23
2003,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.16
2004,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.09
2005,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.04
2006,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.05
2007,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.57
2008,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
2009,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.12
2010,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2011,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2012,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2013,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.08
2014,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.08
2015,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2016,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2017,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2018,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.08
2019,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.08
2020,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2021,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2022,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,72,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.07
2000,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.184
2001,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.173
2002,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.167
2003,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.155
2004,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.154
2005,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.158
2006,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.14
2007,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,72,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.142
