Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.09705
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.0984
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.10155
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.10115
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.09968
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.67235
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.62791
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.53625
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.51024
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.58009
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.57076
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.57907
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.5072
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.50631
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.35604
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.50632
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.46296
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_CLTH,PT,2025-03-26T00:00:00,2023,10.40966
