Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,0.38,0.08,"Based on serosurveys at city, subnational or national level. World Health Organisation (WHO).",SH_HAP_HBSAG,72,Y0T4,PT,2021-05-20T00:00:00,2020,0.19
2018,A,0,0.38,0.08,"Based on serosurveys at city, subnational or national level. World Health Organisation (WHO).",SH_HAP_HBSAG,72,Y0T4,PT,2021-05-20T00:00:00,2020,0.19
2020,A,0,0.38,0.08,"Based on serosurveys at city, subnational or national level. World Health Organisation (WHO).",SH_HAP_HBSAG,72,Y0T4,PT,2021-05-20T00:00:00,2020,0.18
