Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.53541
2001,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.53541
2002,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.58461
2003,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.48216
2004,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.44774
2005,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.48524
2006,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.52539
2007,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.35836
2008,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.21304
2009,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.10245
2010,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.3879
2011,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.20242
2012,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.02676
2013,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,4.95157
2014,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.35327
2015,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.81873
2016,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.94771
2017,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.26021
2018,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.53147
2019,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.34763
2020,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.06292
2021,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.04349
2022,A,0,,7.42817,4.76646,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,72,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.04349
