From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
UPPER_BOUND,LOWER_BOUND
TIME_DETAIL,UPPER_BOUND
SOURCE_DETAIL,REF_AREA
REF_AREA,TIME_DETAIL
