From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
TIME_DETAIL,COMMENT_OBS
SOURCE_DETAIL,REF_AREA
REF_AREA,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,TIME_DETAIL
