Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2015,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2016,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2017,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2018,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2019,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2020,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2021,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2022,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2023,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2024,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMKPT_TRB,204,NUMBER,2025-03-21T00:00:00,2024,,15.0
2020,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2021,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2022,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2023,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2024,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2018,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2019,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2020,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2021,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2022,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2023,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
2024,E,0,National Coordinator for the management of AnGR of: Benin,ER_GRF_ANIMRCNTN_TRB,204,NUMBER,2025-03-21T00:00:00,2024,NaN = A figure was not provided,0.0
1995,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,134.0
2000,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,134.0
2005,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,134.0
2010,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,134.0
2012,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,134.0
2014,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,250.0
2016,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,250.0
2017,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,250.0
2018,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,483.0
2019,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,483.0
2020,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,483.0
2021,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,483.0
2022,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,204,NUMBER,2025-03-21T00:00:00,2022,Estimate based on 2020 report.,483.0
