Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,21.4
2023,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,21.2
2024,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,21.0
2000,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,27.4
2001,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,27.2
2002,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,27.1
2003,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,26.9
2004,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,26.6
2005,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,26.4
2006,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,26.0
2007,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,25.4
2008,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,25.0
2009,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,24.3
2010,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,23.5
2011,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,22.7
2012,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,22.1
2013,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,21.2
2014,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.8
2015,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.4
2016,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.3
2017,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.2
2018,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.1
2019,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,19.8
2020,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,19.5
2021,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,19.2
2022,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,19.0
2023,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,18.9
2024,A,0,31.2,10.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,F,Y0T4,PT,2025-03-27T00:00:00,2024,18.7
2000,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.5
2001,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,33.3
