Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_ETHIO,PD,PT,2025-05-07T00:00:00,2021-2022,19.6
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_ETHIO,PWD,PT,2025-05-07T00:00:00,2021-2022,6.2
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_OTHER,None,PT,2025-05-07T00:00:00,2021-2022,1.95
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_OTHER,PD,PT,2025-05-07T00:00:00,2021-2022,7.45
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_OTHER,PWD,PT,2025-05-07T00:00:00,2021-2022,1.9
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_RELIGION,None,PT,2025-05-07T00:00:00,2021-2022,5.9
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_RELIGION,PD,PT,2025-05-07T00:00:00,2021-2022,16.0
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_RELIGION,PWD,PT,2025-05-07T00:00:00,2021-2022,5.55
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEX,None,PT,2025-05-07T00:00:00,2021-2022,3.2
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEX,PD,PT,2025-05-07T00:00:00,2021-2022,8.8
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEX,PWD,PT,2025-05-07T00:00:00,2021-2022,2.9
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEXO,None,PT,2025-05-07T00:00:00,2021-2022,1.1
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEXO,PD,PT,2025-05-07T00:00:00,2021-2022,2.3
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,None,GRD_SEXO,PWD,PT,2025-05-07T00:00:00,2021-2022,1.1
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,None,None,PT,2025-05-07T00:00:00,2021-2022,14.0
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_AGE,None,PT,2025-05-07T00:00:00,2021-2022,4.35
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_DIS,None,PT,2025-05-07T00:00:00,2021-2022,1.75
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_ETHIO,None,PT,2025-05-07T00:00:00,2021-2022,6.2
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_OTHER,None,PT,2025-05-07T00:00:00,2021-2022,1.95
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_RELIGION,None,PT,2025-05-07T00:00:00,2021-2022,6.15
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_SEX,None,PT,2025-05-07T00:00:00,2021-2022,3.2
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,R,GRD_SEXO,None,PT,2025-05-07T00:00:00,2021-2022,1.15
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,None,None,PT,2025-05-07T00:00:00,2021-2022,14.45
2021,A,0,"Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. Sample size: 18436 women and 7916 men. Discrimination grounds (7): ethnic or immigration origin, sex, sexual orientation, age, religion or belief,  disability, other. Disaggregation by functional difficulties is for age 18-49 years. Estimates: the aggregated data for both sexes are an indirect estimation from data for women and men.",National Statistical Office - Multiple Indicator Cluster Survey (MICS6),VC_VOV_GDSD,204,None,U,GRD_AGE,None,PT,2025-05-07T00:00:00,2021-2022,4.2
