Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,9.0
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,5.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,17.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,11.0
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,15.0
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,6.0
2023,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,None,NUMBER,2025-03-13T00:00:00,2023,9.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2020,5.0
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2020,16.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,Y_GE18,NUMBER,2025-03-13T00:00:00,2020,6.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,None,Y0T17,NUMBER,2025-03-13T00:00:00,2020,5.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,F,None,NUMBER,2025-03-13T00:00:00,2020,16.0
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,F,Y_GE18,NUMBER,2025-03-13T00:00:00,2020,15.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,M,None,NUMBER,2025-03-13T00:00:00,2020,6.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,M,None,NUMBER,2025-03-13T00:00:00,2020,8.0
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETV,72,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2020,5.0
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.4
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.22
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.73
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.46
2021,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.62
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.25
2023,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,None,PER_100000_POP,2025-03-13T00:00:00,2023,0.36
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2020,0.37
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2020,1.14
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2020,0.42
2020,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,72,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2020,0.54
