Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,2.9
2001,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,3.4
2002,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,3.4
2003,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,3.3
2004,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,3.3
2005,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,3.3
2006,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,4.3
2007,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,5.3
2008,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,6.3
2009,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,6.2
2010,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,6.0
2011,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,9.0
2012,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,16.0
2013,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,30.0
2014,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,36.7
2015,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,37.3
2016,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,42.3
2017,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,47.9
2018,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,54.2
2019,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,61.4
2020,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,69.5
2021,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,78.7
2022,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,80.4
2023,A,0,ITU estimate.,IT_USE_II99,72,None,PT,2025-03-08T00:00:00,2023,81.4
2014,A,0,Statistics Botswana,IT_USE_II99,72,F,PT,2025-03-08T00:00:00,2014,33.8
2014,A,0,Statistics Botswana,IT_USE_II99,72,M,PT,2025-03-08T00:00:00,2014,40.5
