Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,12.1
2005,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,9.4
2010,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,16.5
2015,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,11.1
2019,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,9.0
2020,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,8.9
2021,A,0,16.2,5.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,None,PER_100000_POP,2025-03-13T00:00:00,2021,8.4
2000,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,4.7
2005,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,4.0
2010,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,10.9
2015,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,6.0
2019,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,4.9
2020,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,4.8
2021,A,0,12.4,3.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,F,PER_100000_POP,2025-03-13T00:00:00,2021,5.5
2000,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,19.8
2005,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,14.9
2010,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,22.2
2015,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,16.1
2019,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,13.1
2020,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,13.0
2021,A,0,19.9,7.1,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,72,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.2
