Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,AGG_2_3,PT,2025-03-05T00:00:00,2022,41.97174
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,AGG_2_3,PT,2025-03-05T00:00:00,2022,45.02941
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,21.95436
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,34.13717
2017,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,25.3118
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,24.26662
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,49.82214
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_02,PT,2025-03-05T00:00:00,2021,48.95461
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,69.9871
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,85.01312
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,82.05181
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,44.94226
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,44.73576
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,47.18553
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,64.49268
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,66.16174
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,68.94533
2017,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,65.10345
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,69.23182
2019,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,70.6726
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,78.88549
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_1,PT,2025-03-05T00:00:00,2021,76.86946
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_2,PT,2025-03-05T00:00:00,2000,43.77407
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,F,ISCED11_3,PT,2025-03-05T00:00:00,2000,37.26415
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,36.7907
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,19.71992
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,17.60707
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,33.10448
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,35.48249
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,AGG_2_3,PT,2025-03-05T00:00:00,2022,34.32091
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,41.69769
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,36.76379
2017,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,27.64228
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,27.22745
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,66.00228
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_02,PT,2025-03-05T00:00:00,2021,65.74074
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,63.59957
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,76.33221
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,69.88149
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,39.34926
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,42.1373
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,46.81617
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,68.4946
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,70.01984
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,70.90931
2017,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,69.33492
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,70.84076
2019,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,71.42164
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,76.23918
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_1,PT,2025-03-05T00:00:00,2021,74.34726
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_2,PT,2025-03-05T00:00:00,2000,38.6208
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,M,ISCED11_3,PT,2025-03-05T00:00:00,2000,32.59288
