Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,16.11056
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,19.82055
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,18.89483
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,21.81428
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,23.28794
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,27.08527
2013,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,25.75785
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,None,PT,2025-03-05T00:00:00,2014,32.95948
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,16.31989
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,20.86221
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,19.45712
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,22.56244
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,24.22902
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,27.8986
2013,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,26.09268
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,F,PT,2025-03-05T00:00:00,2014,33.92471
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,15.90558
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,18.80066
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,18.34457
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,21.08239
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,22.36704
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,26.28942
2013,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,26.07302
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,72,M,PT,2025-03-05T00:00:00,2014,32.01342
