Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,64.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,70.05
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.09
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,72.09
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,75.58
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,74.26
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,76.12
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,78.68
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,97.74
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,99.14
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.09
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,99.27
