Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Estimated from consumption data. Growth rates are for the period of 2009-2015.,World Bank,SI_HEI_TOTL,72,None,PT,2025-08-12T00:00:00,2015,-0.79
2015,A,0,Estimated from consumption data. Growth rates are for the period of 2009-2015.,World Bank,SI_HEI_TOTL,72,B40,PT,2025-08-12T00:00:00,2015,-0.19
