Value,Disaggregation combinations using this value,Number of indicators
0.08,1,1
0.36124,1,1
0.4,2,1
0.5,1,1
0.97565,1,1
0,1,1
10.4,1,1
11.2,1,1
11.4,1,1
11.7,1,1
11.9,1,1
124,1,1
12.6,1,1
13.3,1,1
13.5,2,2
13.8,1,1
14.5,1,1
14.8,1,1
15.2,1,1
15.3,1,1
20.4,1,1
22.3,1,1
3.5,1,1
35.6,1,1
376,1,1
3.9,1,1
4.2,1,1
4.5,1,1
46.1,1,1
4.76646,1,1
5.1,1,1
51.08786,1,1
5.3,1,1
5.4,1,1
55.5975,1,1
5.7,1,1
6.2,1,1
6.9,1,1
7.1,1,1
8.8,1,1
95.96815,1,1
9.7,1,1
