Value,Disaggregation combinations using this value,Number of indicators
1984-1999,1,1
2000-2018,2,1
2000-2021,4,1
2000,8,2
2002,6,1
2005,4,2
2007,1,1
2010-2020,6,2
2010-2021,4,1
2010-2022,8,1
2010,4,2
2013,5,3
2014-2024,2,1
2014,8,2
2015,9,1
2016-2018,2,1
2016-2019,1,1
2016,6,4
2017-18,1,1
2017-2021,11,1
2017,18,4
2018-2021,4,2
2018-2022,8,2
2018,18,11
2019-2023,4,1
2019,38,9
2020-2023,1,1
2020-2024,5,1
2020,112,23
2021-2022,251,6
2021 - 2022,1,1
2021-22,18,5
2021,378,24
2022,232,39
2023-2024,3,1
2023-2025,14,2
2023,309,56
2024,63,27
2025,12,2
31 December 2024,1,1
Q1 2022 - Q4 2022,2,1
