Indicator,Disaggregation combinations using this value
#10-7-2,1
#11-4-1,1
#12-3-1,2
#12-4-2,5
#12-a-1,1
#15-4-2,6
#15-9-1,1
#16-7-1,12
#17-5-1,1
#17-6-1,2
#4-5-1,13
#6-6-1,18
#7-a-1,1
#7-b-1,1
