Indicator,Disaggregation combinations using this value
#1-a-1,1
#10-5-1,7
#10-6-1,12
#10-a-1,6
#10-b-1,1
#10-c-1,1
#11-4-1,2
#12-2-2,48
#12-a-1,7
#15-2-1,1
#15-a-1,1
#15-b-1,1
#16-2-2,2
#16-5-2,1
#16-6-1,1
#16-6-2,3
#16-7-1,2
#16-8-1,12
#17-10-1,14
#17-11-1,4
#17-12-1,12
#17-13-1,16
#17-18-1,2
#17-3-1,5
#17-3-2,1
#17-4-1,1
#17-6-1,8
#17-8-1,1
#17-9-1,1
#2-2-3,3
#2-4-1,2
#2-a-1,3
#2-a-2,1
#2-c-1,1
#3-1-1,1
#3-2-1,12
#3-2-2,2
#3-3-1,13
#3-3-2,1
#3-3-3,1
#3-3-5,1
#3-b-1,4
#3-b-2,2
#3-c-1,8
#3-d-1,15
#4-1-2,9
#4-3-1,9
#4-5-1,6
#4-b-1,1
#5-5-2,4
#5-b-1,1
#6-5-1,5
#6-a-1,1
#7-1-1,3
#7-1-2,3
#7-a-1,8
#7-b-1,7
#8-1-1,1
#8-10-1,2
#8-3-1,18
#8-4-2,48
#8-5-1,29
#8-5-2,34
#8-6-1,6
#8-8-2,1
#8-9-2,1
#8-a-1,2
#9-2-1,1
#9-2-2,2
#9-3-2,1
#9-a-1,1
#9-c-1,4
