Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,54.13507
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,54.52597
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,54.91713
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,55.30854
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,55.7002
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,56.09212
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,56.48429
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,56.87671
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,57.26938
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,57.66231
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,58.05549
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,58.44892
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,58.8426
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,59.23654
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,59.63073
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,60.02517
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,60.39948
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,R,PT,2023-09-12T00:00:00,2022,60.77379
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,77.11346
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.96641
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.8195
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.67272
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.52609
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.37959
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.23324
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,76.08702
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,75.94094
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,75.795
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,204,U,PT,2023-09-12T00:00:00,2022,75.64919
