Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,807.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,928.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1057.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1150.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1227.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1291.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1342.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1368.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1385.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1379.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1374.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1370.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1371.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1365.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1354.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1344.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1334.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1320.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1308.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRTN,72,M0,NUMBER,2025-03-19T00:00:00,2023,1280.0
