Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,None,T,2025-03-25T00:00:00,2022,311524.9041
2022,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,None,T,2025-03-25T00:00:00,2022,254308.4211
2019,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_HHS,T,2025-03-25T00:00:00,2022,211801.6401
2022,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_HHS,T,2025-03-25T00:00:00,2022,132594.4342
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_OOHC,T,2025-03-25T00:00:00,2022,63692.86938
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_OOHC,T,2025-03-25T00:00:00,2022,81316.4632
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_RTL,T,2025-03-25T00:00:00,2022,36030.39461
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,72,FWS_RTL,T,2025-03-25T00:00:00,2022,40397.52368
2019,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,None,KG,2025-03-25T00:00:00,2022,124.62482
2022,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,None,KG,2025-03-25T00:00:00,2022,96.68434
2019,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_HHS,KG,2025-03-25T00:00:00,2022,84.73076
2022,A,0,Medium Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_HHS,KG,2025-03-25T00:00:00,2022,50.41046
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_OOHC,KG,2025-03-25T00:00:00,2022,25.48018
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_OOHC,KG,2025-03-25T00:00:00,2022,30.91533
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_RTL,KG,2025-03-25T00:00:00,2022,14.41388
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,72,FWS_RTL,KG,2025-03-25T00:00:00,2022,15.35855
