Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.83667
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.98731
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.99124
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.9905
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.94797
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.97726
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.98463
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.9683
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01188
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01103
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02021
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01016
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01205
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00493
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00488
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00575
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00558
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00971
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00743
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00933
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00572
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00507
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01583
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00665
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.01031
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.00482
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02429
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02599
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02447
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02521
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02542
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.02501
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.07913
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.07839
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.31755
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.16817
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.18282
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,2.98961
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,2.86539
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,2.75018
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.07003
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.19434
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.00223
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF1,T,2025-03-21T00:00:00,2023,,3.18287
