Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.07
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.11
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.19
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.76
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.94
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.1
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.92
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.04
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.64
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.12
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.67
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.99
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.3
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.96
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,8.16
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.24
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.09
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.66
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.32
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.41
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.98
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.77
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.92
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.87
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,72,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.91
2000,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.63
2001,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.84
2002,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.43
2003,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.46
2004,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.72
2005,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.34
2006,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.1
2007,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.53
2008,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.68
2009,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.47
2010,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.5
2011,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.73
