Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,83.22581
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,87.5
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,88.06818
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,53.89344
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,43.40265
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,95.58595
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,95.39789
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,95.41839
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,95.50669
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,90.06056
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,88.30795
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,90.44715
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,93.09641
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_IND,PT,2025-03-26T00:00:00,2023,94.01835
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_OIL,PT,2025-03-26T00:00:00,2018,100.0
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_OIL,PT,2025-03-26T00:00:00,2018,100.0
