Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,World Bank Enterprise Surveys. Available at https://www.enterprisesurveys.org/,FC_ACC_SSID,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,26.8
2010,A,0,World Bank Enterprise Surveys. Available at https://www.enterprisesurveys.org/,FC_ACC_SSID,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,35.55
2023,A,0,World Bank Enterprise Surveys. Available at https://www.enterprisesurveys.org/,FC_ACC_SSID,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,19.18
