Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,0.2
2001,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,0.4
2002,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,0.7
2003,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.0
2004,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.2
2005,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.3
2006,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.5
2007,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.8
2008,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,1.9
2009,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,2.2
2010,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,3.1
2011,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,4.1
2012,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,4.5
2013,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,4.9
2014,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,6.0
2015,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,11.3
2016,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,14.5
2017,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,18.7
2018,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,19.0
2019,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,20.5
2020,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,22.1
2021,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,28.2
2022,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,30.0
2023,A,0,ITU estimate.,IT_USE_II99,204,PT,2025-03-08T00:00:00,2023,Aged 6 and older.,32.2
