Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2003,A,0,Based on data from EHCVM. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,204,B50,PT,2025-08-11T00:00:00,2021,11.0
2011,A,0,Based on data from EHCVM. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,204,B50,PT,2025-08-11T00:00:00,2021,11.8
2015,A,0,Based on data from EHCVM. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,204,B50,PT,2025-08-11T00:00:00,2021,20.1
2018,A,0,Based on data from EHCVM. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,204,B50,PT,2025-08-11T00:00:00,2021,11.0
2021,A,0,Based on data from EHCVM. Estimated from unit-record consumption data.,World Bank's Poverty and Inequality Platform,SI_POV_50MI,204,B50,PT,2025-08-11T00:00:00,2021,10.5
