Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y15T24,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,52.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y15T24,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,4.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,22.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,2.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,14.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,4.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,15.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,23.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,19.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,29.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,5.2
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,None,Y25T74,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,13.7
