Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2007,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,53.9373
2008,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,93.1531
2009,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,86.5577
2010,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,72.0438
2011,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,70.6289
2012,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,78.1987
2013,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,82.2521
2014,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,78.5629
2016,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,94.3826
2017,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,96.3038
2018,A,0,data provided by WB Economists.YES-expenditure in suspense accounts,Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,204,PT,2025-03-20T00:00:00,2018,97.2644
