Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,BASE_PER,Value
2011,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2012,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2013,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2014,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2015,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2016,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2017,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2018,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2019,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
2020,A,6,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,204,USD,2022-09-19T00:00:00,2020,Zero means there is no PPI investment captured in the year,,0.0
