Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,1.42
2001,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,1.74
2002,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,2.02
2003,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,2.28
2004,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,2.43
2005,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,2.68
2006,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,3.25
2007,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,3.79
2008,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,3.84
2009,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.19
2010,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.58
2011,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.42
2012,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.21
2013,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.46
2014,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,4.97
2015,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,5.29
2016,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,6.53
2017,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,6.66
2018,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,7.21
2019,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,7.09
2020,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,7.61
2021,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,5.47
2022,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,None,T,2025-02-19T00:00:00,2022,,5.79
2000,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.12
2001,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
2002,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
2003,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.14
2004,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
2005,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.14
2006,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.13
2007,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.13
2008,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.12
2009,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
2010,A,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2,204,ISIC4_C10T32X19,T,2025-02-19T00:00:00,2022,,0.15
