Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.43
2001,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.39
2002,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.21
2003,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.04
2004,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.17
2005,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.11
2006,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.01
2007,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.95
2008,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.02
2009,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.27
2010,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.25
2011,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.94
2012,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.35
2013,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.17
2014,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.27
2015,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.42
2016,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.08
2017,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.09
2018,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,3.16
2019,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.87
2020,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.88
2021,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.66
2022,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,72,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.62
