Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.010484
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009096
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.006828
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.006925
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.005984
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008179
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008312
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009696
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008077
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.007556
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.007737
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009214
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009719
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.010879
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.011464
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009431
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009428
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009919
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.014285
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.01386
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.016186
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.013307
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.011541
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.012529
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.015864
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.020072
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.01531
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.017728
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.019447
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.022086
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.020349
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.019893
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.019967
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.019152
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.021519
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012615
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012479
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012866
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013632
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012884
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.01069
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012006
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.014302
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012892
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013935
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013222
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.011597
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012982
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.015986
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.017078
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.011688
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.015488
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.012877
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013093
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013234
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.015771
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.016036
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.013999
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.014105
