Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,96.82
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,96.35
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.78
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.83
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,94.54
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,93.75
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,98.47
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,98.16
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.8
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.91
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,97.7
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,97.16
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,95.06
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,94.38
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.76
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.77
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,90.16
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_ISV_IFEM,204,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,89.06
