Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97618
2013,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97617
2014,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97616
2015,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97616
2016,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97615
2017,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97613
2018,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97612
2019,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.9761
2020,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97609
2021,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97609
2022,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97609
2023,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97609
2024,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.9761
