Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,145640
2018,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,113606
2019,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,675495
2020,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,0
2021,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,63317
2022,A,0,ICAO,IS_RDP_FRGVOL,72,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,282000
2017,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,103262000
2018,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,106022000
2019,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,178739091
2020,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,0
2021,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,53514000
2022,A,0,ICAO,IS_RDP_PFVOL,72,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,92489000
