Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,93.27203
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,96.31782
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_2,PT,2025-03-05T00:00:00,2023,83.59261
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_2,PT,2025-03-05T00:00:00,2023,91.98726
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_3,PT,2025-03-05T00:00:00,2023,53.92321
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,None,ISCED11_3,PT,2025-03-05T00:00:00,2023,53.30757
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_1,PT,2025-03-05T00:00:00,2023,95.30421
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.30489
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_2,PT,2025-03-05T00:00:00,2023,85.39181
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_2,PT,2025-03-05T00:00:00,2023,92.60744
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_3,PT,2025-03-05T00:00:00,2023,56.77336
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,F,ISCED11_3,PT,2025-03-05T00:00:00,2023,62.19681
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,91.20862
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_1,PT,2025-03-05T00:00:00,2023,94.40408
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_2,PT,2025-03-05T00:00:00,2023,81.77524
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_2,PT,2025-03-05T00:00:00,2023,91.46574
2011,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_3,PT,2025-03-05T00:00:00,2023,50.88022
2023,A,0,"Botswana Quarterly Multi-Topic Survey, Quarter 3 2023. The survey collected data on educational attainment for age 2 and above. Data extracted on 25 February 2025.",SE_TOT_CPLR,72,M,ISCED11_3,PT,2025-03-05T00:00:00,2023,44.53372
