Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,272.87988
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,274.36537
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,275.43452
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,280.93905
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,282.92353
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,284.68923
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,286.57169
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,284.67138
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,284.00061
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,281.82666
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,279.06441
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,277.84056
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,277.24243
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,278.70644
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.07185
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.11957
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.16966
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.21975
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.23054
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24672
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24604
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24017
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.23834
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.23778
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.23908
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24001
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24481
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24653
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24807
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24971
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24806
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24747
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24558
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24317
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24211
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24158
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.24286
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-12.82372
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-18.59489
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-22.88794
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-17.74123
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-33.62599
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-31.17967
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-25.7272
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-20.64926
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,-10.02025
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,14.43474
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,29.03642
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,52.11645
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,84.0346
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,91.44223
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,95.14912
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,113.0878
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,129.89772
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,204,None,PT,2024-05-08T00:00:00,2017-2021,127.66029
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,30.55439
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,46.119
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,62.60888
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,76.25244
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,92.20002
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,82.03109
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,76.60055
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,72.56087
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,77.40383
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,62.45659
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,64.75852
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,69.88919
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,74.66742
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,84.66911
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,107.68075
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,121.42063
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,143.13847
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,173.1728
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,180.14322
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,183.63133
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,200.51126
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,216.32905
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,204,None,KM2,2023-03-30T00:00:00,2017-2021,214.22367
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.02662
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.04019
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.05456
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.06645
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.08034
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.07148
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.06675
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.06323
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.06745
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.05442
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.05643
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,204,None,PT,2025-03-21T00:00:00,2017-2021,0.0609
