Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,2.7
2001,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,2.2
2002,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,1.5
2003,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,0.3
2004,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,1.3
2005,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,-1.5
2006,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,0.8
2007,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,2.9
2008,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,1.8
2009,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,-0.7
2010,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,-0.9
2011,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,-0.1
2012,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,1.7
2013,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,4.1
2014,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,3.3
2015,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,-1.2
2016,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,0.4
2017,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,2.7
2018,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,3.7
2019,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,4.0
2020,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,1.1
2021,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,4.4
2022,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,3.6
2023,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,204,PT,2025-03-13T00:00:00,2023,3.7
