Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,41.3245230913162
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,53.6447942256927
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,2.836998552084
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,8.3645820617676
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,34.1760158538818
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y15T24,None,None,None,PT,2024-05-08T00:00:00,2021,40.1233106851578
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,9.8073542118073
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,13.5968774557114
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,28.5858869552612
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,F,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,39.787021279335
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,11.1505672335625
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,19.7601974010467
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,48.6232072114945
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,M,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,58.1742465496063
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,11.8806
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,19.48365
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,43.39162
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_ILF,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,53.07831
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,204,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,4.06767
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,204,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,8.38351
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,204,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,25.26948
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS_OLF,204,None,Y_GE15,None,None,None,PT,2024-05-23T00:00:00,2021,35.32872
