Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,None,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,10.8
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,None,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,19.1
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,None,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,22.7
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,None,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,45.5
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,F,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,10.21
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,F,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,19.8
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,F,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,20.31
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,F,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,47.4
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,M,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,9.21
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 3. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,M,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2019,19.1
2014,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,M,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,26.05
2019,A,0,CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,204,M,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2019,44.3
