Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,38.4
2005,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,37.4
2006,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.3
2007,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.4
2008,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.9
2009,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,37.1
2010,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,37.2
2011,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.8
2012,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.1
2013,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.0
2014,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.5
2015,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,37.8
2016,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,37.2
2017,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.2
2018,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.8
2019,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.7
2020,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,35.9
2021,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.2
2022,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.0
2023,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.2
2024,A,0,"ILO modelled estimates, Aug. 2024",SL_EMP_GTOTL,204,PT,2025-03-15T00:00:00,2024,36.1
