Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,22.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_IWB,KM2,2025-03-21T00:00:00,2021,,27.2
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4145.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4138.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4123.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4106.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4094.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_MGCI,KM2,2025-03-21T00:00:00,2021,,4085.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_PSG,KM2,2025-03-21T00:00:00,2021,,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,13.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,22.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,17.5
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,16.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,10.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SAF,KM2,2025-03-21T00:00:00,2021,,6.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,20.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,21.5
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,21.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,21.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,20.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SHR,KM2,2025-03-21T00:00:00,2021,,20.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_SNV,KM2,2025-03-21T00:00:00,2021,,0.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.2
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TBL,KM2,2025-03-21T00:00:00,2021,,0.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,224.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,223.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,223.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,223.8
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,224.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_TRE,KM2,2025-03-21T00:00:00,2021,,224.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,149.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,167.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,176.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,193.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,198.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,202.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,51.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,48.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,69.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,95.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,107.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,115.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3834.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3821.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3790.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3749.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3731.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_GRS,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3719.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,20.6
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,10.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,15.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,16.1
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,22.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_IWB,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,27.2
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4145.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4138.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4123.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4106.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,4094.0
