Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.14767
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.09048
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.08856
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.08767
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.0884
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.0925
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.09444
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.09381
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,17.43894
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,21.05517
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,22.40955
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,23.25613
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,18.9938
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,18.54874
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,24.99705
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,24.07349
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,23.05528
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,12.21023
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,14.87983
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,15.16554
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,13.40385
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,14.50264
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,15.46253
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,12.78948
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,12.59153
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,13.49055
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,14.0617
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,13.42009
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,9.41558
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,9.80672
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,9.9892
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3B,T,2025-03-21T00:00:00,2023,,9.91241
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,4.53187
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,4.24159
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.70154
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.5176
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.50498
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.6059
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.58562
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.48455
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.58203
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.77438
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.97229
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.80439
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.33607
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,3.14367
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF1,T,2025-03-21T00:00:00,2023,,2.62683
