Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,This average does not include data for some sectors and can therefore not be directly compared with other countries.,The World Bank,SG_XPD_PR,204,Q1,PT,2025-03-28T00:00:00,2018,1.10527
2018,A,0,,The World Bank,SG_XPD_PR_SOC,204,Q1,PT,2025-03-27T00:00:00,2018,1.10527
