Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.1
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.8
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.6
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.6
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.3
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.0
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.8
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.6
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.2
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.8
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.5
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.1
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.8
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.4
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.2
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.1
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.3
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.9
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.3
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.7
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.0
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.3
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.5
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.6
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.3
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.8
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.0
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.2
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.2
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.93
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.1
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.85
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.81
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.37
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.23
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.2
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.17
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.15
