Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,914
2001,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,888
2002,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,855
2003,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,816
2004,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,773
2005,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,728
2006,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,684
2007,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,641
2008,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,598
2009,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,557
2010,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,518
2011,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,480
2012,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,445
2013,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,414
2014,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,385
2015,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,356
2016,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,326
2017,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,300
2018,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,275
2019,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,253
2020,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,305,124,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,72,PER_100000_POP,2025-01-17T00:00:00,2023,237
