Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,412.48257
2001,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,428.33253
2002,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,446.45079
2003,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,465.86483
2004,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,488.13361
2005,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,502.43676
2006,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,499.95203
2007,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,486.84321
2008,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,465.37258
2009,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,444.02053
2010,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,414.35352
2011,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,381.41775
2012,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,364.49106
2013,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,361.95335
2014,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,369.53381
2015,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,392.83631
2016,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,419.86474
2017,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,418.67916
2018,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,409.27408
2019,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,401.11136
2020,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,378.25861
2021,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,378.9792
2022,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,377.90974
2023,A,0,547.25646,228.50241,WMR,SH_STA_MALR,204,PER_1000_POP,2025-02-12T00:00:00,2023,363.39584
