From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
TIME_DETAIL,COMMENT_OBS
SOURCE_DETAIL,REF_AREA
REF_AREA,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,ACTIVITY
ACTIVITY,TIME_DETAIL
TIME_DETAIL,BASE_PER
