Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",8.43
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.41
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.41
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",26.61
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",26.61
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",5.0
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",5.0
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",5.0
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",5.0
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",6.0
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",9.0
2009,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",9.0
2010,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",9.0
2011,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",9.0
2012,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",7.0
2013,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,204,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",7.0
